#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 294 | 0.000006301s | 88 B
                 295 | 0.000006952s | 136 B
                 296 | 0.000006159s | 72 B
                 297 | 0.000009160s | 104 B
                 298 | 0.000006445s | 88 B
                 299 | 0.000006665s | 128 B
                 300 | 0.000009959s | 96 B
                 301 | 0.000007809s | 128 B
                 302 | 0.000006607s | 112 B
                 303 | 0.000007390s | 160 B
                 304 | 0.000006424s | 80 B
                 305 | 0.000006360s | 104 B
                 306 | 0.000006425s | 88 B
                 307 | 0.000006739s | 128 B
                 308 | 0.000006660s | 88 B
                 309 | 0.000006694s | 128 B
                 310 | 0.000007128s | 112 B
                 311 | 0.000007449s | 160 B
                 312 | 0.000006676s | 96 B
                 313 | 0.000006533s | 128 B
                 314 | 0.000011079s | 112 B
                 315 | 0.000006888s | 160 B
                 316 | 0.000006759s | 112 B
                 317 | 0.000007151s | 160 B
                 318 | 0.000022328s | 136 B
                 319 | 0.000007684s | 208 B
                 320 | 0.000007551s | 72 B
                 321 | 0.000005900s | 96 B
                 322 | 0.000009428s | 80 B
                 323 | 0.000006517s | 120 B
                 324 | 0.000006582s | 88 B
                 325 | 0.000006632s | 120 B
                 326 | 0.000006676s | 104 B
                 327 | 0.000006542s | 152 B
                 328 | 0.000006891s | 80 B
                 329 | 0.000006436s | 112 B
                 330 | 0.000006366s | 96 B
                 331 | 0.000006550s | 144 B
                 332 | 0.000006540s | 104 B
                 333 | 0.000006360s | 144 B
                 334 | 0.000007179s | 120 B
                 335 | 0.000006967s | 184 B
                 336 | 0.000006399s | 80 B
                 337 | 0.000006287s | 112 B
                 338 | 0.000006347s | 96 B
                 339 | 0.000006317s | 136 B
                 340 | 0.000006416s | 96 B
                 341 | 0.000006564s | 136 B
                 342 | 0.000006440s | 112 B
                 343 | 0.000006799s | 168 B
                 344 | 0.000006323s | 96 B
                 345 | 0.000008323s | 136 B
                 346 | 0.000010097s | 112 B
                 347 | 0.000007685s | 168 B
                 348 | 0.000007192s | 120 B
                 349 | 0.000007500s | 168 B
                 350 | 0.000007460s | 144 B
                 351 | 0.000007098s | 216 B
                 352 | 0.000006754s | 80 B
                 353 | 0.000006455s | 112 B
                 354 | 0.000006441s | 96 B
                 355 | 0.000007524s | 144 B
                 356 | 0.000007194s | 96 B
                 357 | 0.000007004s | 136 B
                 358 | 0.000007172s | 120 B
                 359 | 0.000006610s | 176 B
                 360 | 0.000006755s | 96 B
                 361 | 0.000006471s | 136 B
                 362 | 0.000006787s | 112 B
                 363 | 0.000006553s | 168 B
                 364 | 0.000007216s | 120 B
                 365 | 0.000007374s | 168 B
                 366 | 0.000007080s | 144 B
                 367 | 0.000009169s | 216 B
                 368 | 0.000008482s | 96 B
                 369 | 0.000007052s | 136 B
                 370 | 0.000007035s | 112 B
                 371 | 0.000007258s | 168 B
                 372 | 0.000007110s | 120 B
                 373 | 0.000006769s | 168 B
                 374 | 0.000007660s | 144 B
                 375 | 0.000007422s | 208 B
                 376 | 0.000007661s | 120 B
                 377 | 0.000007354s | 168 B
                 378 | 0.000007347s | 144 B
                 379 | 0.000030773s | 208 B
                 380 | 0.000008196s | 152 B
                 381 | 0.000007447s | 208 B
                 382 | 0.000009143s | 184 B
                 383 | 0.000021124s | 272 B
                 384 | 0.000007086s | 88 B
                 385 | 0.000006856s | 120 B
                 386 | 0.000007246s | 104 B
                 387 | 0.000006860s | 152 B
                 388 | 0.000007474s | 104 B
                 389 | 0.000007254s | 144 B
                 390 | 0.000007748s | 128 B
                 391 | 0.000008810s | 184 B
                 392 | 0.000007304s | 104 B
                 393 | 0.000007488s | 144 B
                 394 | 0.000007278s | 120 B
                 395 | 0.000007255s | 176 B
                 396 | 0.000007964s | 128 B
                 397 | 0.000007288s | 176 B
                 398 | 0.000007231s | 152 B
                 399 | 0.000007605s | 232 B
                 400 | 0.000006853s | 104 B
                 401 | 0.000007056s | 144 B
                 402 | 0.000006752s | 120 B
                 403 | 0.000007028s | 176 B
                 404 | 0.000007380s | 120 B
                 405 | 0.000007241s | 168 B
                 406 | 0.000007198s | 144 B
                 407 | 0.000007510s | 216 B
                 408 | 0.000007459s | 128 B
                 409 | 0.000007429s | 176 B
                 410 | 0.000007297s | 144 B
                 411 | 0.000007542s | 216 B
                 412 | 0.000007116s | 160 B
                 413 | 0.000007537s | 216 B
                 414 | 0.000007843s | 184 B
                 415 | 0.000013378s | 280 B
                 416 | 0.000007676s | 104 B
                 417 | 0.000007275s | 144 B
                 418 | 0.000012480s | 120 B
                 419 | 0.000007504s | 176 B
                 420 | 0.000007365s | 120 B
                 421 | 0.000009831s | 168 B
                 422 | 0.000007568s | 144 B
                 423 | 0.000007472s | 216 B
                 424 | 0.000007607s | 120 B
                 425 | 0.000006969s | 168 B
                 426 | 0.000010350s | 136 B
                 427 | 0.000007314s | 208 B
                 428 | 0.000007508s | 144 B
                 429 | 0.000007688s | 208 B
                 430 | 0.000007568s | 176 B
                 431 | 0.000007793s | 264 B
                 432 | 0.000007162s | 120 B
                 433 | 0.000007560s | 168 B
                 434 | 0.000007266s | 144 B
                 435 | 0.000007304s | 216 B
                 436 | 0.000007220s | 144 B
                 437 | 0.000007121s | 200 B
                 438 | 0.000104298s | 176 B
                 439 | 0.000008878s | 264 B
                 440 | 0.000010719s | 152 B
                 441 | 0.000008401s | 216 B
                 442 | 0.000007934s | 176 B
                 443 | 0.000007704s | 264 B
                 444 | 0.000007939s | 184 B
                 445 | 0.000008186s | 264 B
                 446 | 0.000018131s | 224 B
                 447 | 0.000008034s | 336 B
                 448 | 0.000007242s | 104 B
                 449 | 0.000007738s | 152 B
                 450 | 0.000007117s | 120 B
                 451 | 0.000007580s | 184 B
                 452 | 0.000007792s | 128 B
                 453 | 0.000007819s | 176 B
                 454 | 0.000007451s | 152 B
                 455 | 0.000007453s | 224 B
                 456 | 0.000007396s | 128 B
                 457 | 0.000007073s | 176 B
                 458 | 0.000007155s | 144 B
                 459 | 0.000007061s | 216 B
                 460 | 0.000007115s | 160 B
                 461 | 0.000007827s | 216 B
                 462 | 0.000007929s | 184 B
                 463 | 0.000007832s | 280 B
                 464 | 0.000007015s | 128 B
                 465 | 0.000007590s | 176 B
                 466 | 0.000007787s | 144 B
                 467 | 0.000007239s | 216 B
                 468 | 0.000006896s | 152 B
                 469 | 0.000007220s | 208 B
                 470 | 0.000007654s | 176 B
                 471 | 0.000007356s | 264 B
                 472 | 0.000008593s | 152 B
                 473 | 0.000007834s | 216 B
                 474 | 0.000007640s | 176 B
                 475 | 0.000008161s | 264 B
                 476 | 0.000008196s | 192 B
                 477 | 0.000007997s | 264 B
                 478 | 0.000008296s | 224 B
                 479 | 0.000008256s | 336 B
                 480 | 0.000007195s | 128 B
                 481 | 0.000007295s | 176 B
                 482 | 0.000007385s | 144 B
                 483 | 0.000029739s | 216 B
                 484 | 0.000007581s | 152 B
                 485 | 0.000007381s | 208 B
                 486 | 0.000007702s | 184 B
                 487 | 0.000007817s | 272 B
                 488 | 0.000008567s | 152 B
                 489 | 0.000007801s | 208 B
                 490 | 0.000007974s | 176 B
                 491 | 0.000017829s | 256 B
                 492 | 0.000008360s | 184 B
                 493 | 0.000007833s | 256 B
                 494 | 0.000008533s | 224 B
                 495 | 0.000007962s | 328 B
                 496 | 0.000007297s | 152 B
                 497 | 0.000007892s | 216 B
                 498 | 0.000008076s | 176 B
                 499 | 0.000007739s | 264 B
                 500 | 0.000007820s | 184 B
                 501 | 0.000007705s | 256 B
                 502 | 0.000008142s | 224 B
                 503 | 0.000008253s | 328 B
                 504 | 0.000007469s | 192 B
                 505 | 0.000008128s | 264 B
                 506 | 0.000017435s | 224 B
                 507 | 0.000009090s | 328 B
                 508 | 0.000011917s | 240 B
                 509 | 0.000011570s | 328 B
                 510 | 0.000011205s | 280 B
                 511 | 0.000020911s | 424 B
                 512 | 0.000008979s | 128 B
                 513 | 0.000009619s | 176 B
                 514 | 0.000007729s | 152 B
                 515 | 0.000007427s | 224 B
                 516 | 0.000007460s | 152 B
                 517 | 0.000007642s | 216 B
                 518 | 0.000009796s | 184 B
                 519 | 0.000007933s | 272 B
                 520 | 0.000009703s | 152 B
                 521 | 0.000007728s | 216 B
                 522 | 0.000007887s | 176 B
                 523 | 0.000007681s | 264 B
                 524 | 0.000009082s | 192 B
                 525 | 0.000007547s | 264 B
                 526 | 0.000008130s | 224 B
                 527 | 0.000008431s | 336 B
                 528 | 0.000007721s | 152 B
                 529 | 0.000008360s | 208 B
                 530 | 0.000007716s | 176 B
                 531 | 0.000007786s | 264 B
                 532 | 0.000009352s | 184 B
                 533 | 0.000008396s | 248 B
                 534 | 0.000008360s | 216 B
                 535 | 0.000008180s | 320 B
                 536 | 0.000007665s | 184 B
                 537 | 0.000011221s | 264 B
                 538 | 0.000008045s | 216 B
                 539 | 0.000008277s | 320 B
                 540 | 0.000008726s | 232 B
                 541 | 0.000014377s | 320 B
                 542 | 0.000012893s | 272 B
                 543 | 0.000009762s | 408 B
                 544 | 0.000007588s | 144 B
                 545 | 0.000007765s | 208 B
                 546 | 0.000007838s | 168 B
                 547 | 0.000007734s | 256 B
                 548 | 0.000007774s | 176 B
                 549 | 0.000007859s | 248 B
                 550 | 0.000008312s | 216 B
                 551 | 0.000008083s | 320 B
                 552 | 0.000008081s | 176 B
                 553 | 0.000008027s | 248 B
                 554 | 0.000008496s | 200 B
                 555 | 0.000008446s | 304 B
                 556 | 0.000009126s | 216 B
                 557 | 0.000009643s | 304 B
                 558 | 0.000010078s | 256 B
                 559 | 0.000018183s | 384 B
                 560 | 0.000008571s | 184 B
                 561 | 0.000007926s | 256 B
                 562 | 0.000008459s | 208 B
                 563 | 0.000008968s | 312 B
                 564 | 0.000008319s | 216 B
                 565 | 0.000010601s | 304 B
                 566 | 0.000008956s | 256 B
                 567 | 0.000008402s | 384 B
                 568 | 0.000008198s | 224 B
                 569 | 0.000008123s | 312 B
                 570 | 0.000009094s | 256 B
                 571 | 0.000008379s | 384 B
                 572 | 0.000028814s | 280 B
                 573 | 0.000009620s | 384 B
                 574 | 0.000029542s | 328 B
                 575 | 0.000017061s | 496 B
                 576 | 0.000007549s | 152 B
                 577 | 0.000016441s | 208 B
                 578 | 0.000011379s | 176 B
                 579 | 0.000008066s | 256 B
                 580 | 0.000007927s | 184 B
                 581 | 0.000007745s | 248 B
                 582 | 0.000008029s | 216 B
                 583 | 0.000008183s | 320 B
                 584 | 0.000008470s | 176 B
                 585 | 0.000007899s | 248 B
                 586 | 0.000008336s | 208 B
                 587 | 0.000007845s | 312 B
                 588 | 0.000008822s | 224 B
                 589 | 0.000008708s | 312 B
                 590 | 0.000008804s | 264 B
                 591 | 0.000008995s | 400 B
                 592 | 0.000007738s | 176 B
                 593 | 0.000007740s | 248 B
                 594 | 0.000008539s | 208 B
                 595 | 0.000007935s | 304 B
                 596 | 0.000008210s | 208 B
                 597 | 0.000008354s | 296 B
                 598 | 0.000008403s | 248 B
                 599 | 0.000008625s | 376 B
                 600 | 0.000008829s | 216 B
                 601 | 0.000009091s | 304 B
                 602 | 0.000009186s | 248 B
                 603 | 0.000008440s | 376 B
                 604 | 0.000012646s | 272 B
                 605 | 0.000009651s | 376 B
                 606 | 0.000013891s | 320 B
                 607 | 0.000020486s | 480 B
                 608 | 0.000008310s | 176 B
                 609 | 0.000007953s | 256 B
                 610 | 0.000009328s | 208 B
                 611 | 0.000012193s | 312 B
                 612 | 0.000008666s | 216 B
                 613 | 0.000012235s | 304 B
                 614 | 0.000009501s | 256 B
                 615 | 0.000008462s | 384 B
                 616 | 0.000008469s | 216 B
                 617 | 0.000008151s | 304 B
                 618 | 0.000008984s | 248 B
                 619 | 0.000008610s | 368 B
                 620 | 0.000011635s | 264 B
                 621 | 0.000009531s | 368 B
                 622 | 0.000012077s | 320 B
                 623 | 0.000011588s | 472 B
                 624 | 0.000008718s | 224 B
                 625 | 0.000008676s | 312 B
                 626 | 0.000008621s | 256 B
                 627 | 0.000008646s | 384 B
                 628 | 0.000009527s | 264 B
                 629 | 0.000008824s | 368 B
                 630 | 0.000011203s | 320 B
                 631 | 0.000019744s | 472 B
                 632 | 0.000009798s | 272 B
                 633 | 0.000009361s | 384 B
                 634 | 0.000010583s | 320 B
                 635 | 0.000024480s | 472 B
                 636 | 0.000012614s | 336 B
                 637 | 0.000010178s | 472 B
                 638 | 0.000012598s | 408 B
                 639 | 0.000019211s | 608 B
                 640 | 0.000008529s | 168 B
                 641 | 0.000007847s | 232 B
                 642 | 0.000008168s | 192 B
                 643 | 0.000008094s | 288 B
                 644 | 0.000008166s | 200 B
                 645 | 0.000008392s | 272 B
                 646 | 0.000008648s | 240 B
                 647 | 0.000008661s | 352 B
                 648 | 0.000008784s | 200 B
                 649 | 0.000008335s | 280 B
                 650 | 0.000008830s | 232 B
                 651 | 0.000008566s | 344 B
                 652 | 0.000009085s | 248 B
                 653 | 0.000008617s | 344 B
                 654 | 0.000009443s | 296 B
                 655 | 0.000009005s | 440 B
                 656 | 0.000008443s | 192 B
                 657 | 0.000008079s | 272 B
                 658 | 0.000010286s | 224 B
                 659 | 0.000013363s | 336 B
                 660 | 0.000009969s | 232 B
                 661 | 0.000008726s | 328 B
                 662 | 0.000009268s | 280 B
                 663 | 0.000008876s | 416 B
                 664 | 0.000009016s | 240 B
                 665 | 0.000008868s | 336 B
                 666 | 0.000009091s | 280 B
                 667 | 0.000009076s | 416 B
                 668 | 0.000013141s | 296 B
                 669 | 0.000042176s | 416 B
                 670 | 0.000022275s | 360 B
                 671 | 0.000013018s | 536 B
                 672 | 0.000008621s | 192 B
                 673 | 0.000008203s | 264 B
                 674 | 0.000009480s | 224 B
                 675 | 0.000008292s | 328 B
                 676 | 0.000008680s | 232 B
                 677 | 0.000008208s | 320 B
                 678 | 0.000008451s | 272 B
                 679 | 0.000008568s | 408 B
                 680 | 0.000009149s | 224 B
                 681 | 0.000008883s | 320 B
                 682 | 0.000009199s | 264 B
                 683 | 0.000012581s | 392 B
                 684 | 0.000010685s | 280 B
                 685 | 0.000010039s | 392 B
                 686 | 0.000012173s | 336 B
                 687 | 0.000011710s | 504 B
                 688 | 0.000009040s | 232 B
                 689 | 0.000008662s | 328 B
                 690 | 0.000009559s | 272 B
                 691 | 0.000008694s | 408 B
                 692 | 0.000018200s | 280 B
                 693 | 0.000009517s | 392 B
                 694 | 0.000010931s | 336 B
                 695 | 0.000017406s | 504 B
                 696 | 0.000010232s | 288 B
                 697 | 0.000010096s | 408 B
                 698 | 0.000011473s | 336 B
                 699 | 0.000011326s | 504 B
                 700 | 0.000010913s | 360 B
                 701 | 0.000010496s | 504 B
                 702 | 0.000013434s | 432 B
                 703 | 0.000017833s | 648 B
                 704 | 0.000008353s | 192 B
                 705 | 0.000018523s | 272 B
                 706 | 0.000009111s | 224 B
                 707 | 0.000008712s | 336 B
                 708 | 0.000008925s | 232 B
                 709 | 0.000008517s | 328 B
                 710 | 0.000008643s | 280 B
                 711 | 0.000012584s | 416 B
                 712 | 0.000009027s | 232 B
                 713 | 0.000008645s | 328 B
                 714 | 0.000010036s | 272 B
                 715 | 0.000011709s | 400 B
                 716 | 0.000020446s | 288 B
                 717 | 0.000013648s | 400 B
                 718 | 0.000031714s | 344 B
                 719 | 0.000026448s | 520 B
                 720 | 0.000023602s | 232 B
                 721 | 0.000019156s | 320 B
                 722 | 0.000016875s | 264 B
                 723 | 0.000011181s | 400 B
                 724 | 0.000014146s | 272 B
                 725 | 0.000011248s | 384 B
                 726 | 0.000020752s | 328 B
                 727 | 0.000012182s | 488 B
                1804 | 0.000052430s | 904 B
                2881 | 0.000061590s | 1856 B
                3958 | 0.000199313s | 4568 B
                5035 | 0.000199319s | 7672 B
                6112 | 0.000276156s | 6200 B
                7189 | 0.000201266s | 7104 B
                8266 | 0.000318958s | 7120 B
                9343 | 0.000972670s | 25680 B
               10420 | 0.000669631s | 11776 B
               11497 | 0.000850425s | 20320 B
               12574 | 0.001076288s | 18464 B
               13651 | 0.000974136s | 23928 B
               14728 | 0.000921105s | 15064 B
               15805 | 0.002623810s | 47896 B
               16882 | 0.002492916s | 33904 B
               17959 | 0.001703226s | 38216 B
               19036 | 0.002315096s | 31680 B
               20113 | 0.001853639s | 36392 B
               21190 | 0.002402312s | 33912 B
               22267 | 0.005734629s | 94312 B
               23344 | 0.002684184s | 34280 B
               24421 | 0.004816388s | 73736 B
               25498 | 0.004524165s | 53480 B
               26575 | 0.008654150s | 125552 B
               27652 | 0.002053815s | 28544 B
               28729 | 0.003070334s | 53568 B
               29806 | 0.005332099s | 64160 B
               30883 | 0.003400045s | 61488 B
               31960 | 0.006174518s | 66512 B
               33037 | 0.003659898s | 62200 B
               34114 | 0.004059721s | 48760 B
               35191 | 0.007753432s | 137792 B
               36268 | 0.008406619s | 93744 B
               37345 | 0.006240123s | 94136 B
               38422 | 0.007930580s | 73696 B
               39499 | 0.006729735s | 105712 B
               40576 | 0.006196245s | 63888 B
               41653 | 0.007461566s | 115328 B
               42730 | 0.012053780s | 121568 B
               43807 | 0.011463995s | 184304 B
