#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 289 | 0.000005126s | 32 B
                 290 | 0.000005035s | 32 B
                 291 | 0.000004475s | 32 B
                 292 | 0.000005901s | 32 B
                 293 | 0.000004525s | 32 B
                 294 | 0.000004652s | 32 B
                 295 | 0.000007732s | 32 B
                 296 | 0.000004856s | 32 B
                 297 | 0.000006220s | 32 B
                 298 | 0.000004832s | 32 B
                 299 | 0.000007951s | 32 B
                 300 | 0.000004652s | 32 B
                 301 | 0.000004183s | 32 B
                 302 | 0.000006435s | 32 B
                 303 | 0.000004742s | 32 B
                 304 | 0.000004139s | 32 B
                 305 | 0.000004242s | 32 B
                 306 | 0.000012990s | 32 B
                 307 | 0.000004609s | 32 B
                 308 | 0.000004334s | 32 B
                 309 | 0.000004744s | 32 B
                 310 | 0.000004531s | 32 B
                 311 | 0.000005004s | 32 B
                 312 | 0.000004383s | 32 B
                 313 | 0.000004712s | 32 B
                 314 | 0.000004332s | 32 B
                 315 | 0.000004618s | 32 B
                 316 | 0.000004424s | 32 B
                 317 | 0.000048090s | 32 B
                 318 | 0.000006308s | 32 B
                 319 | 0.000004701s | 32 B
                 320 | 0.000004093s | 32 B
                 321 | 0.000003949s | 32 B
                 322 | 0.000006162s | 32 B
                 323 | 0.000004023s | 32 B
                 324 | 0.000007031s | 32 B
                 325 | 0.000005200s | 32 B
                 326 | 0.000016682s | 32 B
                 327 | 0.000015505s | 32 B
                 328 | 0.000004920s | 32 B
                 329 | 0.000006957s | 32 B
                 330 | 0.000013181s | 32 B
                 331 | 0.000005576s | 32 B
                 332 | 0.000014802s | 32 B
                 333 | 0.000005537s | 32 B
                 334 | 0.000006759s | 32 B
                 335 | 0.000013701s | 32 B
                 336 | 0.000004817s | 32 B
                 337 | 0.000004430s | 32 B
                 338 | 0.000012627s | 32 B
                 339 | 0.000015553s | 32 B
                 340 | 0.000005775s | 32 B
                 341 | 0.000004955s | 32 B
                 342 | 0.000004773s | 32 B
                 343 | 0.000004749s | 32 B
                 344 | 0.000004738s | 32 B
                 345 | 0.000004882s | 32 B
                 346 | 0.000004787s | 32 B
                 347 | 0.000004799s | 32 B
                 348 | 0.000004950s | 32 B
                 349 | 0.000005362s | 32 B
                 350 | 0.000004010s | 32 B
                 351 | 0.000003981s | 32 B
                 352 | 0.000004076s | 32 B
                 353 | 0.000006034s | 32 B
                 354 | 0.000005550s | 32 B
                 355 | 0.000005704s | 32 B
                 356 | 0.000004550s | 32 B
                 357 | 0.000004042s | 32 B
                 358 | 0.000004147s | 32 B
                 359 | 0.000003913s | 32 B
                 360 | 0.000007709s | 32 B
                 361 | 0.000006910s | 32 B
                 362 | 0.000005581s | 32 B
                 363 | 0.000005101s | 32 B
                 364 | 0.000009000s | 32 B
                 365 | 0.000005166s | 32 B
                 366 | 0.000008213s | 32 B
                 367 | 0.000005193s | 32 B
                 368 | 0.000007489s | 32 B
                 369 | 0.000005383s | 32 B
                 370 | 0.000005260s | 32 B
                 371 | 0.000005682s | 40 B
                 372 | 0.000005729s | 40 B
                 373 | 0.000005332s | 40 B
                 374 | 0.000010712s | 40 B
                 375 | 0.000005786s | 40 B
                 376 | 0.000005492s | 40 B
                 377 | 0.000005820s | 40 B
                 378 | 0.000005360s | 40 B
                 379 | 0.000006551s | 40 B
                 380 | 0.000005546s | 40 B
                 381 | 0.000005952s | 40 B
                 382 | 0.000005385s | 40 B
                 383 | 0.000005783s | 40 B
                 384 | 0.000005899s | 40 B
                 385 | 0.000005417s | 40 B
                 386 | 0.000005653s | 40 B
                 387 | 0.000005638s | 40 B
                 388 | 0.000005379s | 40 B
                 389 | 0.000005440s | 40 B
                 390 | 0.000006650s | 40 B
                 391 | 0.000005631s | 40 B
                 392 | 0.000005390s | 40 B
                 393 | 0.000005633s | 40 B
                 394 | 0.000005330s | 40 B
                 395 | 0.000005703s | 40 B
                 396 | 0.000005187s | 40 B
                 397 | 0.000007325s | 40 B
                 398 | 0.000005583s | 40 B
                 399 | 0.000005695s | 40 B
                 400 | 0.000005469s | 40 B
                 401 | 0.000005466s | 40 B
                 402 | 0.000005574s | 40 B
                 403 | 0.000005518s | 40 B
                 404 | 0.000005434s | 40 B
                 405 | 0.000005328s | 40 B
                 406 | 0.000005399s | 40 B
                 407 | 0.000005373s | 40 B
                 408 | 0.000006305s | 40 B
                 409 | 0.000013814s | 40 B
                 410 | 0.000008421s | 40 B
                 411 | 0.000006596s | 40 B
                 412 | 0.000005184s | 40 B
                 413 | 0.000006447s | 40 B
                 414 | 0.000006400s | 40 B
                 415 | 0.000006526s | 40 B
                 416 | 0.000005288s | 40 B
                 417 | 0.000005374s | 40 B
                 418 | 0.000005403s | 40 B
                 419 | 0.000005702s | 40 B
                 420 | 0.000009122s | 40 B
                 421 | 0.000007329s | 40 B
                 422 | 0.000007628s | 40 B
                 423 | 0.000010522s | 40 B
                 424 | 0.000007201s | 40 B
                 425 | 0.000007308s | 40 B
                 426 | 0.000023421s | 40 B
                 427 | 0.000007163s | 40 B
                 428 | 0.000015772s | 40 B
                 429 | 0.000007305s | 40 B
                 430 | 0.000010614s | 40 B
                 431 | 0.000007663s | 40 B
                 432 | 0.000007345s | 40 B
                 433 | 0.000023707s | 40 B
                 434 | 0.000016056s | 40 B
                 435 | 0.000023426s | 40 B
                 436 | 0.000015148s | 40 B
                 437 | 0.000007455s | 40 B
                 438 | 0.000007181s | 40 B
                 439 | 0.000007256s | 40 B
                 440 | 0.000009574s | 40 B
                 441 | 0.000007384s | 40 B
                 442 | 0.000007496s | 40 B
                 443 | 0.000007030s | 40 B
                 444 | 0.000007328s | 40 B
                 445 | 0.000007147s | 40 B
                 446 | 0.000007281s | 40 B
                 447 | 0.000007600s | 40 B
                 448 | 0.000007049s | 40 B
                 449 | 0.000006948s | 40 B
                 450 | 0.000009609s | 40 B
                 451 | 0.000007935s | 40 B
                 452 | 0.000007873s | 40 B
                 453 | 0.000009062s | 40 B
                 454 | 0.000008628s | 40 B
                 455 | 0.000008411s | 40 B
                 456 | 0.000008330s | 40 B
                 457 | 0.000007888s | 40 B
                 458 | 0.000008091s | 40 B
                 459 | 0.000007696s | 40 B
                 460 | 0.000005816s | 40 B
                 461 | 0.000005739s | 40 B
                 462 | 0.000006081s | 40 B
                 463 | 0.000006071s | 48 B
                 464 | 0.000006147s | 48 B
                 465 | 0.000005872s | 48 B
                 466 | 0.000007403s | 48 B
                 467 | 0.000007506s | 48 B
                 468 | 0.000005645s | 48 B
                 469 | 0.000005718s | 48 B
                 470 | 0.000005718s | 48 B
                 471 | 0.000007925s | 48 B
                 472 | 0.000009362s | 48 B
                 473 | 0.000023842s | 48 B
                 474 | 0.000015034s | 48 B
                 475 | 0.000007072s | 48 B
                 476 | 0.000006899s | 48 B
                 477 | 0.000009208s | 48 B
                 478 | 0.000016056s | 48 B
                 479 | 0.000007377s | 48 B
                 480 | 0.000007395s | 48 B
                 481 | 0.000009341s | 48 B
                 482 | 0.000007532s | 48 B
                 483 | 0.000007786s | 48 B
                 484 | 0.000007302s | 48 B
                 485 | 0.000007727s | 48 B
                 486 | 0.000007419s | 48 B
                 487 | 0.000007483s | 48 B
                 488 | 0.000007390s | 48 B
                 489 | 0.000007535s | 48 B
                 490 | 0.000007603s | 48 B
                 491 | 0.000009287s | 48 B
                 492 | 0.000023462s | 48 B
                 493 | 0.000008592s | 48 B
                 494 | 0.000008758s | 48 B
                 495 | 0.000009027s | 48 B
                 496 | 0.000009116s | 48 B
                 497 | 0.000008883s | 48 B
                 498 | 0.000009039s | 48 B
                 499 | 0.000009403s | 48 B
                 500 | 0.000008926s | 48 B
                 501 | 0.000008350s | 48 B
                 502 | 0.000017945s | 48 B
                 503 | 0.000008992s | 48 B
                 504 | 0.000006702s | 48 B
                 505 | 0.000006345s | 48 B
                 506 | 0.000006180s | 48 B
                 507 | 0.000006384s | 48 B
                 508 | 0.000006057s | 48 B
                 509 | 0.000006104s | 48 B
                 510 | 0.000006060s | 48 B
                 511 | 0.000006039s | 48 B
                 512 | 0.000006053s | 48 B
                 513 | 0.000006008s | 48 B
                 514 | 0.000006467s | 48 B
                 515 | 0.000006012s | 48 B
                 516 | 0.000005911s | 48 B
                 517 | 0.000006018s | 48 B
                 518 | 0.000006017s | 48 B
                 519 | 0.000006004s | 48 B
                 520 | 0.000005902s | 48 B
