#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 511 | 0.000270728s | 48 B
                 512 | 0.000178662s | 48 B
                 513 | 0.000174283s | 48 B
                 514 | 0.000173725s | 48 B
                 515 | 0.000211313s | 48 B
                 516 | 0.000178668s | 48 B
                 517 | 0.000177853s | 48 B
                 518 | 0.000177479s | 48 B
                 519 | 0.000186051s | 48 B
                 520 | 0.000173596s | 48 B
                 521 | 0.000175902s | 48 B
                 522 | 0.000178251s | 48 B
                 523 | 0.000190336s | 48 B
                 524 | 0.000176549s | 48 B
                 525 | 0.000176443s | 48 B
                 526 | 0.000176709s | 48 B
                 527 | 0.000175846s | 48 B
                 528 | 0.000176646s | 48 B
                 529 | 0.000176772s | 48 B
                 530 | 0.000176588s | 48 B
                 531 | 0.000178254s | 48 B
                 532 | 0.000177301s | 48 B
                 533 | 0.000177731s | 48 B
                 534 | 0.000182897s | 48 B
                 535 | 0.000178805s | 48 B
                 536 | 0.000178858s | 48 B
                 537 | 0.000178908s | 48 B
                 538 | 0.000209922s | 48 B
                 539 | 0.000180905s | 48 B
                 540 | 0.000180657s | 48 B
                 541 | 0.000180995s | 48 B
                 542 | 0.000186394s | 48 B
                 543 | 0.000181683s | 48 B
                 544 | 0.000182394s | 48 B
                 545 | 0.000182683s | 48 B
                 546 | 0.000191687s | 48 B
                 547 | 0.000182550s | 48 B
                 548 | 0.000182758s | 48 B
                 549 | 0.000187227s | 48 B
                 550 | 0.000197426s | 48 B
                 551 | 0.000184046s | 48 B
                 552 | 0.000184327s | 48 B
                 553 | 0.000185445s | 48 B
                 554 | 0.000196926s | 48 B
                 555 | 0.000185948s | 56 B
                 556 | 0.000186791s | 56 B
                 557 | 0.000191479s | 56 B
                 558 | 0.000187658s | 56 B
                 559 | 0.000188166s | 56 B
                 560 | 0.000188542s | 56 B
                 561 | 0.000220348s | 56 B
                 562 | 0.000210294s | 56 B
                 563 | 0.000205061s | 56 B
                 564 | 0.000189530s | 56 B
                 565 | 0.000229897s | 56 B
                 566 | 0.000219993s | 56 B
                 567 | 0.000211923s | 56 B
                 568 | 0.000266887s | 56 B
                 569 | 0.000260785s | 56 B
                 570 | 0.000177795s | 56 B
                 571 | 0.000260435s | 56 B
                 572 | 0.000230161s | 56 B
                 573 | 0.000312378s | 56 B
                 574 | 0.000211287s | 56 B
                 575 | 0.000192575s | 56 B
                 576 | 0.000192434s | 56 B
                 577 | 0.000202442s | 56 B
                 578 | 0.000226848s | 56 B
                 579 | 0.000193577s | 56 B
                 580 | 0.000194352s | 56 B
                 581 | 0.000200810s | 56 B
                 582 | 0.000194873s | 56 B
                 583 | 0.000194317s | 56 B
                 584 | 0.000194553s | 56 B
                 585 | 0.000209072s | 56 B
                 586 | 0.000196272s | 56 B
                 587 | 0.000196265s | 56 B
                 588 | 0.000196272s | 56 B
                 589 | 0.000227655s | 56 B
                 590 | 0.000196665s | 56 B
                 591 | 0.000196922s | 56 B
                 592 | 0.000197474s | 56 B
                 593 | 0.000218471s | 56 B
                 594 | 0.000198653s | 56 B
                 595 | 0.000198937s | 56 B
                 596 | 0.000198988s | 56 B
                 597 | 0.000200250s | 56 B
                 598 | 0.000200559s | 56 B
                 599 | 0.000200088s | 56 B
                 600 | 0.000230740s | 56 B
                 601 | 0.000207940s | 56 B
                 602 | 0.000200898s | 56 B
                 603 | 0.000201699s | 56 B
                 604 | 0.000215797s | 56 B
                 605 | 0.000202522s | 56 B
                 606 | 0.000202400s | 56 B
                 607 | 0.000203192s | 56 B
                 608 | 0.000236487s | 56 B
                 609 | 0.000212517s | 56 B
                 610 | 0.000203587s | 56 B
                 611 | 0.000218787s | 56 B
                 612 | 0.000204975s | 56 B
                 613 | 0.000204432s | 56 B
                 614 | 0.000204302s | 56 B
                 615 | 0.000238266s | 56 B
                 616 | 0.000212168s | 56 B
                 617 | 0.000205353s | 56 B
                 618 | 0.000225315s | 56 B
                 619 | 0.000245846s | 56 B
                 620 | 0.000230161s | 56 B
                 621 | 0.000206599s | 56 B
                 622 | 0.000286510s | 56 B
                 623 | 0.000216626s | 56 B
                 624 | 0.000233131s | 56 B
                 625 | 0.000278487s | 56 B
                 626 | 0.000296126s | 56 B
                 627 | 0.000302373s | 56 B
                 628 | 0.000344658s | 56 B
                 629 | 0.000211532s | 56 B
                 630 | 0.000369164s | 56 B
                 631 | 0.000283796s | 56 B
                 632 | 0.000349076s | 56 B
                 633 | 0.000238263s | 56 B
                 634 | 0.000246834s | 56 B
                 635 | 0.000286270s | 56 B
                 636 | 0.000219976s | 56 B
                 637 | 0.000237945s | 56 B
                 638 | 0.000219240s | 56 B
                 639 | 0.000283642s | 56 B
                 640 | 0.000362051s | 56 B
                 641 | 0.000215681s | 56 B
                 642 | 0.000355424s | 56 B
                 643 | 0.000228304s | 56 B
                 644 | 0.000214471s | 56 B
                 645 | 0.000214672s | 56 B
                 646 | 0.000219390s | 56 B
                 647 | 0.000222181s | 64 B
                 648 | 0.000215978s | 64 B
                 649 | 0.000221235s | 64 B
                 650 | 0.000226361s | 64 B
                 651 | 0.000364586s | 64 B
                 652 | 0.000218163s | 64 B
                 653 | 0.000236645s | 64 B
                 654 | 0.000210682s | 64 B
                 655 | 0.000301985s | 64 B
                 656 | 0.000248984s | 64 B
                 657 | 0.000229388s | 64 B
                 658 | 0.000229464s | 64 B
                 659 | 0.000282561s | 64 B
                 660 | 0.000230254s | 64 B
                 661 | 0.000230647s | 64 B
                 662 | 0.000255642s | 64 B
                 663 | 0.000223186s | 64 B
                 664 | 0.000234627s | 64 B
                 665 | 0.000243815s | 64 B
                 666 | 0.000236630s | 64 B
                 667 | 0.000304888s | 64 B
                 668 | 0.000364510s | 64 B
                 669 | 0.000390284s | 64 B
                 670 | 0.000376169s | 64 B
                 671 | 0.000365808s | 64 B
                 672 | 0.000315468s | 64 B
                 673 | 0.000397626s | 64 B
                 674 | 0.000340187s | 64 B
                 675 | 0.000432983s | 64 B
                 676 | 0.000342035s | 64 B
                 677 | 0.000331929s | 64 B
                 678 | 0.000343917s | 64 B
                 679 | 0.000282547s | 64 B
                 680 | 0.000279527s | 64 B
                 681 | 0.000238870s | 64 B
                 682 | 0.000241856s | 64 B
                 683 | 0.000274743s | 64 B
                 684 | 0.000241306s | 64 B
                 685 | 0.000312719s | 64 B
                 686 | 0.000387557s | 64 B
                 687 | 0.000317464s | 64 B
                 688 | 0.000332804s | 64 B
                 689 | 0.000341608s | 64 B
                 690 | 0.000377215s | 64 B
                 691 | 0.000299756s | 64 B
                 692 | 0.000349772s | 64 B
                 693 | 0.000305242s | 64 B
                 694 | 0.000272210s | 64 B
                 695 | 0.000366065s | 64 B
                 696 | 0.000275450s | 64 B
                 697 | 0.000371961s | 64 B
                 698 | 0.000401056s | 64 B
                 699 | 0.000357655s | 64 B
                 700 | 0.000412217s | 64 B
                 701 | 0.000380464s | 64 B
                 702 | 0.000372554s | 64 B
                 703 | 0.000329066s | 64 B
                 704 | 0.000364040s | 64 B
                 705 | 0.000365908s | 64 B
                 706 | 0.000325293s | 64 B
                 707 | 0.000380292s | 64 B
                 708 | 0.000356192s | 64 B
                 709 | 0.000371724s | 64 B
                 710 | 0.000317132s | 64 B
                 711 | 0.000350612s | 64 B
                 712 | 0.000331599s | 64 B
                 713 | 0.000222229s | 64 B
                 714 | 0.000250422s | 64 B
                 715 | 0.000221743s | 64 B
                 716 | 0.000222201s | 64 B
                 717 | 0.000236278s | 64 B
                 718 | 0.000221187s | 64 B
                 719 | 0.000224594s | 64 B
                 720 | 0.000225152s | 64 B
                 721 | 0.000335053s | 64 B
                 722 | 0.000344529s | 64 B
                 723 | 0.000350370s | 64 B
                 724 | 0.000331505s | 64 B
                 725 | 0.000356909s | 64 B
                 726 | 0.000328599s | 64 B
                 727 | 0.000407626s | 64 B
                 885 | 0.000289369s | 80 B
                1043 | 0.000355389s | 96 B
                1201 | 0.000406764s | 112 B
                1359 | 0.000476097s | 120 B
                1517 | 0.000530372s | 136 B
                1675 | 0.000603439s | 152 B
                1833 | 0.000681271s | 160 B
                1991 | 0.000747236s | 176 B
                2149 | 0.000935610s | 192 B
                2307 | 0.000975079s | 208 B
                2465 | 0.001083899s | 216 B
                2623 | 0.001064331s | 232 B
                2781 | 0.001362934s | 248 B
                2939 | 0.001750636s | 256 B
                3097 | 0.001963829s | 272 B
                3255 | 0.001389661s | 288 B
                3413 | 0.001487659s | 304 B
                3571 | 0.001607313s | 312 B
                3729 | 0.001712375s | 328 B
                3887 | 0.002604444s | 344 B
                4045 | 0.002836226s | 352 B
                4203 | 0.003292933s | 368 B
                4361 | 0.003703586s | 384 B
                4519 | 0.003370003s | 400 B
                4677 | 0.003227694s | 408 B
                4835 | 0.004365766s | 424 B
                4993 | 0.004778385s | 440 B
                5151 | 0.004695789s | 448 B
                5309 | 0.004800250s | 464 B
                5467 | 0.004271865s | 480 B
                5625 | 0.002954131s | 488 B
                5783 | 0.003086392s | 504 B
                5941 | 0.003424522s | 520 B
                6099 | 0.006097658s | 536 B
                6257 | 0.004587887s | 544 B
                6415 | 0.006630353s | 560 B
                6573 | 0.006232945s | 576 B
                6731 | 0.004671753s | 584 B
                6889 | 0.005165824s | 600 B
                7047 | 0.005863010s | 616 B
                7205 | 0.005104143s | 632 B
                7363 | 0.006268395s | 640 B
