#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 333 | 0.000002737s | 32 B
                 334 | 0.000002790s | 32 B
                 335 | 0.000002102s | 32 B
                 336 | 0.000003066s | 32 B
                 337 | 0.000002031s | 32 B
                 338 | 0.000002135s | 32 B
                 339 | 0.000002071s | 32 B
                 340 | 0.000002146s | 32 B
                 341 | 0.000002022s | 32 B
                 342 | 0.000002066s | 32 B
                 343 | 0.000002051s | 32 B
                 344 | 0.000002116s | 32 B
                 345 | 0.000002400s | 32 B
                 346 | 0.000002131s | 32 B
                 347 | 0.000002094s | 32 B
                 348 | 0.000002196s | 32 B
                 349 | 0.000002049s | 32 B
                 350 | 0.000002128s | 32 B
                 351 | 0.000002063s | 32 B
                 352 | 0.000002037s | 32 B
                 353 | 0.000002062s | 32 B
                 354 | 0.000004828s | 32 B
                 355 | 0.000003640s | 32 B
                 356 | 0.000003287s | 32 B
                 357 | 0.000003229s | 32 B
                 358 | 0.000002485s | 32 B
                 359 | 0.000002208s | 32 B
                 360 | 0.000002042s | 32 B
                 361 | 0.000002080s | 32 B
                 362 | 0.000002142s | 32 B
                 363 | 0.000002049s | 32 B
                 364 | 0.000002435s | 32 B
                 365 | 0.000003021s | 32 B
                 366 | 0.000002919s | 32 B
                 367 | 0.000002327s | 32 B
                 368 | 0.000002109s | 32 B
                 369 | 0.000002123s | 32 B
                 370 | 0.000002143s | 32 B
                 371 | 0.000002098s | 40 B
                 372 | 0.000002201s | 40 B
                 373 | 0.000004841s | 40 B
                 374 | 0.000002867s | 40 B
                 375 | 0.000002333s | 40 B
                 376 | 0.000002369s | 40 B
                 377 | 0.000002163s | 40 B
                 378 | 0.000002420s | 40 B
                 379 | 0.000002299s | 40 B
                 380 | 0.000002248s | 40 B
                 381 | 0.000004470s | 40 B
                 382 | 0.000003384s | 40 B
                 383 | 0.000002393s | 40 B
                 384 | 0.000002565s | 40 B
                 385 | 0.000002363s | 40 B
                 386 | 0.000002208s | 40 B
                 387 | 0.000002200s | 40 B
                 388 | 0.000002259s | 40 B
                 389 | 0.000002226s | 40 B
                 390 | 0.000002204s | 40 B
                 391 | 0.000002548s | 40 B
                 392 | 0.000002275s | 40 B
                 393 | 0.000002224s | 40 B
                 394 | 0.000002260s | 40 B
                 395 | 0.000002151s | 40 B
                 396 | 0.000002231s | 40 B
                 397 | 0.000002443s | 40 B
                 398 | 0.000002252s | 40 B
                 399 | 0.000002303s | 40 B
                 400 | 0.000002214s | 40 B
                 401 | 0.000004671s | 40 B
                 402 | 0.000003423s | 40 B
                 403 | 0.000002960s | 40 B
                 404 | 0.000002386s | 40 B
                 405 | 0.000002240s | 40 B
                 406 | 0.000002201s | 40 B
                 407 | 0.000002321s | 40 B
                 408 | 0.000002201s | 40 B
                 409 | 0.000002253s | 40 B
                 410 | 0.000002241s | 40 B
                 411 | 0.000002398s | 40 B
                 412 | 0.000002209s | 40 B
                 413 | 0.000002183s | 40 B
                 414 | 0.000002169s | 40 B
                 415 | 0.000002141s | 40 B
                 416 | 0.000002245s | 40 B
                 417 | 0.000002223s | 40 B
                 418 | 0.000002495s | 40 B
                 419 | 0.000002182s | 40 B
                 420 | 0.000002210s | 40 B
                 421 | 0.000004515s | 40 B
                 422 | 0.000002719s | 40 B
                 423 | 0.000002266s | 40 B
                 424 | 0.000002171s | 40 B
                 425 | 0.000002192s | 40 B
                 426 | 0.000002254s | 40 B
                 427 | 0.000002212s | 40 B
                 428 | 0.000002205s | 40 B
                 429 | 0.000002182s | 40 B
                 430 | 0.000003353s | 40 B
                 431 | 0.000002515s | 40 B
                 432 | 0.000002283s | 40 B
                 433 | 0.000002208s | 40 B
                 434 | 0.000002165s | 40 B
                 435 | 0.000002163s | 40 B
                 436 | 0.000002218s | 40 B
                 437 | 0.000002124s | 40 B
                 438 | 0.000002358s | 40 B
                 439 | 0.000002223s | 40 B
                 440 | 0.000002455s | 40 B
                 441 | 0.000002303s | 40 B
                 442 | 0.000002197s | 40 B
                 443 | 0.000002134s | 40 B
                 444 | 0.000002198s | 40 B
                 445 | 0.000002140s | 40 B
                 446 | 0.000002176s | 40 B
                 447 | 0.000002139s | 40 B
                 448 | 0.000002115s | 40 B
                 449 | 0.000004391s | 40 B
                 450 | 0.000003366s | 40 B
                 451 | 0.000003176s | 40 B
                 452 | 0.000002306s | 40 B
                 453 | 0.000002211s | 40 B
                 454 | 0.000002147s | 40 B
                 455 | 0.000002210s | 40 B
                 456 | 0.000002220s | 40 B
                 457 | 0.000002408s | 40 B
                 458 | 0.000002281s | 40 B
                 459 | 0.000002333s | 40 B
                 460 | 0.000002193s | 40 B
                 461 | 0.000002203s | 40 B
                 462 | 0.000002269s | 40 B
