#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 372 | 0.000018399s | 40 B
                 373 | 0.000031214s | 40 B
                 374 | 0.000012429s | 40 B
                 375 | 0.000018476s | 40 B
                 376 | 0.000018686s | 40 B
                 377 | 0.000013108s | 40 B
                 378 | 0.000012669s | 40 B
                 379 | 0.000013197s | 40 B
                 380 | 0.000016491s | 40 B
                 381 | 0.000019081s | 40 B
                 382 | 0.000016607s | 40 B
                 383 | 0.000017572s | 40 B
                 384 | 0.000016849s | 40 B
                 385 | 0.000017046s | 40 B
                 386 | 0.000016569s | 40 B
                 387 | 0.000023984s | 40 B
                 388 | 0.000014378s | 40 B
                 389 | 0.000014312s | 40 B
                 390 | 0.000012988s | 40 B
                 391 | 0.000023604s | 40 B
                 392 | 0.000021694s | 40 B
                 393 | 0.000014191s | 40 B
                 394 | 0.000014126s | 40 B
                 395 | 0.000014044s | 40 B
                 396 | 0.000014057s | 40 B
                 397 | 0.000014439s | 40 B
                 398 | 0.000013799s | 40 B
                 399 | 0.000013442s | 40 B
                 400 | 0.000013833s | 40 B
                 401 | 0.000013583s | 40 B
                 402 | 0.000013371s | 40 B
                 403 | 0.000013701s | 40 B
                 404 | 0.000013552s | 40 B
                 405 | 0.000013737s | 40 B
                 406 | 0.000014254s | 40 B
                 407 | 0.000013721s | 40 B
                 408 | 0.000013598s | 40 B
                 409 | 0.000017444s | 40 B
                 410 | 0.000026026s | 40 B
                 411 | 0.000025415s | 40 B
                 412 | 0.000027486s | 40 B
                 413 | 0.000017170s | 40 B
                 414 | 0.000016524s | 40 B
                 415 | 0.000035185s | 40 B
                 416 | 0.000019770s | 40 B
                 417 | 0.000019395s | 40 B
                 418 | 0.000022325s | 40 B
                 419 | 0.000019352s | 40 B
                 420 | 0.000018878s | 40 B
                 421 | 0.000021829s | 40 B
                 422 | 0.000020015s | 40 B
                 423 | 0.000019283s | 40 B
                 424 | 0.000022988s | 40 B
                 425 | 0.000017152s | 40 B
                 426 | 0.000018635s | 40 B
                 427 | 0.000018655s | 40 B
                 428 | 0.000017930s | 40 B
                 429 | 0.000017363s | 40 B
                 430 | 0.000024031s | 40 B
                 431 | 0.000029938s | 40 B
                 432 | 0.000017216s | 40 B
                 433 | 0.000022662s | 40 B
                 434 | 0.000039692s | 40 B
                 435 | 0.000022201s | 40 B
                 436 | 0.000022004s | 40 B
                 437 | 0.000036684s | 40 B
                 438 | 0.000022170s | 40 B
                 439 | 0.000022307s | 40 B
                 440 | 0.000028439s | 40 B
                 441 | 0.000017446s | 40 B
                 442 | 0.000018134s | 40 B
                 443 | 0.000019744s | 40 B
                 444 | 0.000017144s | 40 B
                 445 | 0.000021417s | 40 B
                 446 | 0.000020381s | 40 B
                 447 | 0.000025097s | 40 B
                 448 | 0.000019785s | 40 B
                 449 | 0.000022349s | 40 B
                 450 | 0.000019880s | 40 B
                 451 | 0.000020108s | 40 B
                 452 | 0.000020546s | 40 B
                 453 | 0.000018609s | 40 B
                 454 | 0.000017845s | 40 B
                 455 | 0.000020770s | 40 B
                 456 | 0.000019594s | 40 B
                 457 | 0.000020209s | 40 B
                 458 | 0.000021309s | 40 B
                 459 | 0.000020401s | 40 B
                 460 | 0.000022215s | 40 B
                 461 | 0.000020089s | 40 B
                 462 | 0.000019946s | 40 B
                 463 | 0.000017354s | 48 B
                 464 | 0.000022108s | 48 B
                 465 | 0.000021504s | 48 B
                 466 | 0.000021693s | 48 B
                 467 | 0.000020070s | 48 B
                 468 | 0.000018814s | 48 B
                 469 | 0.000019055s | 48 B
                 470 | 0.000019994s | 48 B
                 471 | 0.000022820s | 48 B
                 472 | 0.000034522s | 48 B
                 473 | 0.000022263s | 48 B
                 474 | 0.000022917s | 48 B
                 475 | 0.000022973s | 48 B
                 476 | 0.000023100s | 48 B
                 477 | 0.000019015s | 48 B
                 478 | 0.000022422s | 48 B
                 479 | 0.000020169s | 48 B
                 480 | 0.000024509s | 48 B
                 481 | 0.000024210s | 48 B
                 482 | 0.000024344s | 48 B
                 483 | 0.000024550s | 48 B
                 484 | 0.000024572s | 48 B
                 485 | 0.000024670s | 48 B
                 486 | 0.000024394s | 48 B
                 487 | 0.000024626s | 48 B
                 488 | 0.000024683s | 48 B
                 489 | 0.000024729s | 48 B
                 490 | 0.000024833s | 48 B
                 491 | 0.000024507s | 48 B
                 492 | 0.000024748s | 48 B
                 493 | 0.000024571s | 48 B
                 494 | 0.000025069s | 48 B
                 495 | 0.000024981s | 48 B
                 496 | 0.000025146s | 48 B
                 497 | 0.000022326s | 48 B
                 498 | 0.000025159s | 48 B
                 499 | 0.000025234s | 48 B
                 500 | 0.000025325s | 48 B
                 501 | 0.000026722s | 48 B
                 502 | 0.000033586s | 48 B
                 503 | 0.000025875s | 48 B
                 504 | 0.000026713s | 48 B
                 505 | 0.000052453s | 48 B
                 506 | 0.000026644s | 48 B
                 507 | 0.000025533s | 48 B
                 508 | 0.000026725s | 48 B
                 509 | 0.000026279s | 48 B
                 510 | 0.000034612s | 48 B
                 511 | 0.000037170s | 48 B
                 512 | 0.000027395s | 48 B
                 513 | 0.000039548s | 48 B
                 514 | 0.000025153s | 48 B
                 515 | 0.000035743s | 48 B
                 516 | 0.000026760s | 48 B
                 517 | 0.000026226s | 48 B
                 518 | 0.000026321s | 48 B
                 519 | 0.000026084s | 48 B
                 520 | 0.000026158s | 48 B
                 521 | 0.000026179s | 48 B
                 522 | 0.000025067s | 48 B
                 523 | 0.000032045s | 48 B
                 524 | 0.000027987s | 48 B
                 525 | 0.000031996s | 48 B
                 526 | 0.000030310s | 48 B
                 527 | 0.000026250s | 48 B
                 528 | 0.000026442s | 48 B
                 529 | 0.000026284s | 48 B
                 530 | 0.000026597s | 48 B
                 531 | 0.000028070s | 48 B
                 532 | 0.000027882s | 48 B
                 533 | 0.000029246s | 48 B
                 534 | 0.000028252s | 48 B
                 535 | 0.000028311s | 48 B
                 536 | 0.000028755s | 48 B
                 537 | 0.000028358s | 48 B
                 538 | 0.000026650s | 48 B
                 539 | 0.000028212s | 48 B
                 540 | 0.000026154s | 48 B
                 541 | 0.000028117s | 48 B
                 542 | 0.000027498s | 48 B
                 543 | 0.000027834s | 48 B
                 544 | 0.000026403s | 48 B
                 545 | 0.000028291s | 48 B
                 546 | 0.000028265s | 48 B
                 547 | 0.000027362s | 48 B
                 548 | 0.000025883s | 48 B
                 549 | 0.000027032s | 48 B
                 550 | 0.000028812s | 48 B
                 551 | 0.000027306s | 48 B
                 552 | 0.000026733s | 48 B
                 553 | 0.000028062s | 48 B
                 554 | 0.000031242s | 48 B
                 555 | 0.000039522s | 56 B
                 556 | 0.000028545s | 56 B
                 557 | 0.000032786s | 56 B
                 558 | 0.000031936s | 56 B
                 559 | 0.000030256s | 56 B
                 560 | 0.000029906s | 56 B
                 561 | 0.000028112s | 56 B
                 562 | 0.000028956s | 56 B
                 563 | 0.000026876s | 56 B
                 564 | 0.000028019s | 56 B
                 565 | 0.000027671s | 56 B
                 566 | 0.000030503s | 56 B
                 567 | 0.000030535s | 56 B
                 568 | 0.000042907s | 56 B
                 569 | 0.000030986s | 56 B
                 570 | 0.000028724s | 56 B
                 571 | 0.000032440s | 56 B
                 572 | 0.000032030s | 56 B
